time,sc_pdsi
1942-01-01,-0.69
1943-01-01,-1.34
1944-01-01,0.77
1945-01-01,-1.7
1946-01-01,-0.48
1947-01-01,0.62
1948-01-01,-0.89
1949-01-01,-1.68
1950-01-01,-1.42
1951-01-01,4.26
1952-01-01,-1.48
1953-01-01,-0.1
1954-01-01,0.59
1955-01-01,1.89
1956-01-01,3.01
1957-01-01,-1.38
1958-01-01,-2.56
1959-01-01,2.01
1960-01-01,1.09
1961-01-01,1.63
1962-01-01,2.0
1963-01-01,1.95
1964-01-01,2.42
1965-01-01,-1.95
1966-01-01,0.31
1967-01-01,0.24
1968-01-01,0.74
1969-01-01,0.1
1970-01-01,0.46
1971-01-01,2.79
1972-01-01,0.97
1973-01-01,-0.13
1974-01-01,1.8
1975-01-01,0.15
1976-01-01,3.95
1977-01-01,-0.04
1978-01-01,-1.59
1979-01-01,-0.51
1980-01-01,-1.26
1981-01-01,-1.92
1982-01-01,-1.08
1983-01-01,-0.09
1984-01-01,2.96
1985-01-01,1.28
1986-01-01,0.26
1987-01-01,-1.65
1988-01-01,1.81
1989-01-01,3.01
1990-01-01,1.36
1991-01-01,-1.01
1992-01-01,-1.68
1993-01-01,-1.71
1994-01-01,-2.28
1995-01-01,-2.17
1996-01-01,-1.65
1997-01-01,-0.29
1998-01-01,-0.79
1999-01-01,1.85
2000-01-01,1.01
2001-01-01,-1.19
2002-01-01,-1.32
2003-01-01,-3.0
2004-01-01,-2.35
2005-01-01,-2.27
2006-01-01,-1.23
2007-01-01,-0.45
2008-01-01,2.57
2009-01-01,0.24
2010-01-01,0.73
2011-01-01,3.62
2012-01-01,4.48
