time,sc_pdsi
1902-01-01,0.35
1903-01-01,-0.78
1904-01-01,2.56
1905-01-01,0.36
1906-01-01,-1.56
1907-01-01,1.28
1908-01-01,2.01
1909-01-01,1.81
1910-01-01,1.88
1911-01-01,2.1
1912-01-01,-0.96
1913-01-01,0.04
1914-01-01,-0.75
1915-01-01,-2.07
1916-01-01,0.85
1917-01-01,3.23
1918-01-01,0.81
1919-01-01,-1.8
1920-01-01,-3.63
1921-01-01,-1.59
1922-01-01,0.3
1923-01-01,-0.18
1924-01-01,0.77
1925-01-01,0.21
1926-01-01,-0.78
1927-01-01,0.43
1928-01-01,-0.04
1929-01-01,1.85
1930-01-01,1.03
1931-01-01,0.06
1932-01-01,-1.19
1933-01-01,0.7
1934-01-01,-0.23
1935-01-01,2.18
1936-01-01,2.68
1937-01-01,-0.23
1938-01-01,1.07
1939-01-01,-0.34
1940-01-01,-0.25
1941-01-01,-2.0
1942-01-01,-0.58
1943-01-01,-1.84
1944-01-01,0.19
1945-01-01,0.14
1946-01-01,-0.25
1947-01-01,3.1
1948-01-01,2.08
1949-01-01,1.29
1950-01-01,-0.87
1951-01-01,1.39
1952-01-01,-0.89
1953-01-01,-0.34
1954-01-01,2.03
1955-01-01,-0.05
1956-01-01,2.25
1957-01-01,2.6
1958-01-01,1.25
1959-01-01,2.29
1960-01-01,-0.05
1961-01-01,0.3
1962-01-01,-0.82
1963-01-01,-0.02
1964-01-01,-3.92
1965-01-01,-2.74
1966-01-01,-2.14
1967-01-01,-1.38
1968-01-01,-1.59
1969-01-01,-0.76
1970-01-01,0.56
1971-01-01,3.57
1972-01-01,1.46
1973-01-01,0.19
1974-01-01,1.62
1975-01-01,1.29
1976-01-01,0.73
1977-01-01,2.53
1978-01-01,-0.84
1979-01-01,-0.66
1980-01-01,-2.68
1981-01-01,-2.82
1982-01-01,-2.02
1983-01-01,-3.67
1984-01-01,-2.76
1985-01-01,-1.44
1986-01-01,0.14
1987-01-01,0.18
1988-01-01,-1.12
1989-01-01,-0.06
1990-01-01,-1.05
1991-01-01,-1.06
1992-01-01,-0.92
1993-01-01,-1.16
1994-01-01,-1.08
1995-01-01,0.63
1996-01-01,2.14
1997-01-01,0.11
1998-01-01,-1.16
1999-01-01,-1.05
2000-01-01,-2.04
2001-01-01,-2.52
2002-01-01,-0.59
2003-01-01,-2.17
2004-01-01,-1.33
2005-01-01,-1.14
2006-01-01,-0.23
2007-01-01,-2.19
2008-01-01,-3.11
2009-01-01,-4.14
2010-01-01,-1.76
2011-01-01,-2.18
2012-01-01,-1.66
